No,Name,Phone,Address,Type
15205,Gareth's Florist Limited,01254 703 258,"6, Kay Street, Darwen, Lancashire, BB3 3BZ",Motor Cycles & Scooters
15206,Go-Liquid Ltd,01706 223 366,"Union Garage Bacup Rd, Rossendale, Lancashire, BB4 7JJ",Motor Vehicle Mechanics
15207,National Autistic Society,01706 211 519,"Rossford House, Bury Road, Rawtenstall, Rossendale, Lancashire, BB4 6AG",Mobility Equipment
15208,International Aid Trust,01706 438 045,"12 Hope St, Rossendale, Lancashire, BB4 6NS",Cleaning Contracting Domestic
15209,Queen's Spicy Chef,3337721700,"Prinny Mill Business Centre, 68 Blackburn Road, Rossendale, Lancashire, BB4 5HL",Computer Services
15210,Ribble Valley Computer Solutions,01706 230 780,"1 The Parade, Rossendale, Lancashire, BB4 4HD",Convenience Stores
15211,Joseph James,01706 600 725,"Bacup Road, Rossendale, Lancashire, BB4 7HB",Convenience Stores
15212,Elite Dry Cleaners Ltd,01706 215 353,"Unit 6 Swanney Lodge Road, Rawtenstall, Rossendale, Lancashire, BB4 6HW",Take Away Meal Outlets
15213,Coral,01706 390 286,"Pod On Car Park, New Hall Hey Retail Park Rossendale, Swanney Lodge Road, Rossendale, Lancashire, BB4 6HR",Car Dealers (new & Used)
15214,East Lancashire Hospice - Great Harwood Shop,07368 499 895,"Unit B New Hall Hey Business Park, New Hall Hey Rd, Rossendale, Lancashire, BB4 6HL",Removals And Storage Activities (domestic)
15215,Mortimers,01706 220 020,"1 New Bowness Mill, Shawclough Road, Rossendale, Rossendale, Lancashire, BB4 9JZ",Soft Furnishings Retail Sale Of
15216,Gareth's Florists,07800 614 444,"Haslingden New Road, Rossendale, Lancashire, BB4 6QX",Religious Organisations And Places Of Worship
15217,Walmsley Arms Limited,07460 975 837,"Beaumaris Close, Rossendale, Lancashire, BB4 6TJ",Language Schools
15218,Townsend Music Limited,01706 835 800,"11 Bacup Road, Rossendale, Lancashire, BB4 7NG",Dentists
15219,Rishton Arms Ltd,01706 225 885,"3 Bentgate Close, Rossendale, Lancashire, BB4 6LT",Plumbers
15220,Turtlebee,01706 224 136,"Waterfoot Health Centre, Cowpe Road, Rossendale, Lancashire, BB4 7DN",Pharmaceutical Suppliers And Wholesalers
15221,Misa Bargains Limited,0161 602 8940,"Syke St, Haslingden, Rossendale, Lancashire, BB4 6LY",Pharmaceutical Suppliers And Wholesalers
15222,Pizza & Kebabland,3457888444,"28 Bank Street, Rossendale, Lancashire, BB4 8TS",Banks And Financial Institutions
15223,Kelly Ward Hair Studio,0161 602 8949,"Bocholt Way, Rawtenstall, Rossendale, Lancashire, BB4 6DB",Pharmaceutical Suppliers And Wholesalers
15224,The Chicken Shop,01706 830 642,"New Hall Hey Retail Park, Rawtenstall, Rossendale, Lancashire, BB4 6HR",Departmental Stores
15225,Fisher Forestry,3456719527,"Bocholt Way, Rawtenstall, Rossendale, Lancashire, BB4 6DB",Supermarkets
15226,Primroselink Motors Ltd,3456779858,"Syke St, Haslingden, Rossendale, Lancashire, BB4 6LY",Supermarkets
15227,Ashcroft Homecare Ltd,3457203040,"11 Bank Street, Rawtenstall, Rossendale, Lancashire, BB4 6QS",Banks And Financial Institutions
15228,Langshaw Calverley Funeral Directors,01706 219 236,"Haslingden Road, Rossendale, Lancashire, BB4 6QX",Restaurants
15229,Affordable Mobility Ltd,01706 242 400,"Hollymount Way, Rossendale, Lancashire, BB4 8EE",Cafes And Snack Bars
15230,Als Driving School,01706 213 810,"Crawshawbooth, Rossendale, Lancashire, BB4 8UE",Pet Cemeteries
15231,Motability Scheme At Rufus Carr Ford Clitheroe,01706 215 654,"Burnley Road, Rossendale, Lancashire, BB4 8HH",Chemists Dispensing
15232,Motability Scheme At Greenacre Garage Clitheroe,01706 213 873,"Holmefield Garageburnley Rd, Rossendale, Lancashire, BB4 8EW",Restaurants
15233,Motability Scheme At Modern Mobility Clitheroe,01706 222 532,"2 John Street, Haslingden, Rossendale, Lancashire, BB4 5QB",Supermarkets
15234,We Buy Any Car Clitheroe Cricket Club,020 3826 8612,"199, Haslingden Old Road, Rossendale, Lancashire, BB4 8RR",
15235,Willowcrete Eco-Fabrix Ltd,01706 215 940,"Unit 8 The Corn Exchange, Roberts Street, Burnley Road Raw, Lancashire Bb4 8Eu, Rossendale, Lancashire, BB4 8EU",Car Dealers (new & Used)
15236,Able-Care,01706 217 009,"Irwell House, 223, Bacup Road, Rossendale, Lancashire, BB4 7PA",Tax Consultancy
15237,Hopcraft Agricultural Services Ltd,01706 228 200,"875, Burnley Road East, Rossendale, Lancashire, BB4 9PL",Business Services
15238,The Original Factory Shop,0800 002 9049,"St. Crispin House, 4, St. Crispin Way, Rossendale, Lancashire, BB4 4PW",Holding Companies Management Activities
15239,Argos Clitheroe In Sainsbury’S,07849 129 820,"33, Carr Lane, Rossendale, Lancashire, BB4 7BY",Electrical Contractors And Electricians
15240,Barratt Homes - The Brooks,01706 217 755,"St Johns Court Bacup Road, Rossendale, Lancashire, BB4 7PA",It Consultants
15241,Barratt Homes - Waddow Heights,07800 907 128,"11, Booth Place, Rossendale, Lancashire, BB4 9BD",Engineers (consulting)
15242,David Wilson Homes - Waddow Heights,01706 228 817,"Unit 7, Brookside Business Park, Burnley Road, Bb4 8Lp, Rossendale, Lancashire, BB4 8LP",Builders
15243,David Wilson Homes - Monks Cross,01706 215 930,"602, Bacup Road, Rossendale, Lancashire, BB4 7EU",Hairdressers (unisex)
15244,Todber Valley Holiday Park,01522 721 006,"Boundary Garage, Rings Nook, Burnley Road, Loveclough, Rossendale, Lancashire, BB4 8UG",Car Dealers (used Only)
15245,Marsden Building Society,01706 215 588,"Burnley Road, Loveclough, Rossendale, Lancashire, BB4 8RG",Car Dealers (used Only)
15246,Co-Op Food - King Street - Whalley,01706 231 029,"The Pudding Mill, Waterside Road, Rossendale, Lancashire, BB4 5EN",Meat Products Production Of
15247,Screwfix Clitheroe - Barrow,07968 914 406,"2, Clough Fold Barn, Loveclough Fold, Rossendale, Lancashire, BB4 8QT",Employment And Recruitment Companies And Consultants
15248,Specsavers Opticians And Audiologists - Clitheroe,01706 232 130,"Prinny Mill Business Centre, Blackburn Road, Rossendale, Lancashire, BB4 5HL",Employment And Recruitment Companies And Consultants
15249,Dhl Express Service Point (Whsmith Clitheroe),01727 890 600,"Unit 9, Three Point Business Park, Charles Lane, Haslingden, Rossendale, Lancashire, BB4 5EH",Road Haulage And Transport Services
15250,Castle View House,07544 371 947,"258, Grane Road, Rossendale, Lancashire, BB4 4PB",Electrical Contractors And Electricians
15251,"Abbeyfield House, Clitheroe",01706 941 407,"17, Bank Street, Rossendale, Lancashire, BB4 6QS",Restaurants
15252,Studio Perfectus,01706 877 648,"Unit 17, Springvale Mill, Waterside Road, Rossendale, Lancashire, BB4 5EZ",Tube Benders
15253,Homebase - Clitheroe (Including Bathstore),01706 309 990,"Unit 2, Grove House, Carrs Industrial Estate, Booth St., Rossendale, Lancashire, BB4 5JA",Builders
15254,Tyremen,01706 215 219,"Height End Farm, Kirk Hill Road, Rossendale, Lancashire, BB4 8TZ",Electronic Engineers
15255,Co-Op Food - Petrol Clitheroe,01282 606 525,"St. Crispin House, 4, St. Crispin Way, Rossendale, Lancashire, BB4 4PW",Business Services
15256,Spar Primrose,07957 364 544,"677, Burnley Road East, Rossendale, Lancashire, BB4 9PG",Container Manufacturers
15257,Eagle Cars Private Hire Ltd,01204 439 566,"Irwell House, 223, Bacup Road, Rossendale, Lancashire, BB4 7PA",
15258,Clean Heat Limited,020 7193 4751,"Unit 9, Three Point Business Pk, Charles, Haslingden, Rossendale, Lancashire, BB4 5EH",Clothing Retailers
15259,Leafield Windows Limited,01706 225 521,"Laneside Foundry Manchester, Road Haslingden, Rossendale, Lancashire, BB4 5SL",Plant And Machinery Maintenance And Repairs
15260,Eats Limited,01706 831 363,"Bowness Lodge, Shawclough Road, Rossendale, Lancashire, BB4 9JZ",Building Construction Contractors
15261,Roebridge Financial Management Ltd,01706 231 700,"Suite 1, St Mary's Chambers, Haslingden Road, Rawtenstall, Lancashire Bb4 6Qx, Rossendale, Lancashire, BB4 6QX",Management And Business Consultants
15262,I W & R Ford (Building Contractors) Limited,01282 771 458,"St. Crispin House, 4, St. Crispin Way, Rossendale, Lancashire, BB4 4PW",Butchers
15263,D S Bristol Limited,01706 835 177,"9, Holden Place, Rossendale, Lancashire, BB4 4PU",
15264,John Pallister Ltd,01254 405 070,"Isle Of Man Mill, Burnley Road East, Bb4 9Pl, Rossendale, Lancashire, BB4 9PL",Cargo Handling
15265,Animal Magic Family Ltd,3332070760,"Knowsley Road, Knowsley Road Industrial Estate, Haslingden, Rossendale, Lancashire, BB4 4RX",Estate Management Services
15266,The Original Glowstars Company Limited,0800 193 3810,"322, Burnley Road East, Rossendale, Lancashire, BB4 9HU",Business Services
15267,The Stonyhurst Foundation,01706 216 441,"16, Kay Street, Rossendale, Lancashire, BB4 7LS",
15268,Circuit Component Distribution Ltd,01706 831 488,"37, Burnley Road East, Rossendale, Lancashire, BB4 9AG",Accounting Activities
15269,Holden Wood Antiques Limited,01706 214 453,"6, Bury Road, Rossendale, Lancashire, BB4 6AA",
15270,Gary Hoerty Associates Ltd,07815 605 486,"6, Highfield Park, Rossendale, Lancashire, BB4 4BH",Advertising Agency Services
15271,Colorlogic (Uk) Ltd,07770 618 700,"Meadowvale Cottage, Parkinson Fold, Rossendale, Lancashire, BB4 6LE",
15272,Little Green Bus Ltd,0161 711 1255,"Unit 4 5 Knowsley Rd Ind Est, Haslingden, Lancashire Bb4 4Rx, Rossendale, Lancashire, BB4 4RX",Civil Engineers
15273,R W Electrical Engineering Ltd,01706 220 901,"Green Lowe Farm, Shawclough Road, Waterfoot, Rossendale, Lancashire, BB4 9SA",Management And Business Consultants
15274,Ultrapanel Building Technologies Limited,01706 213 756,"22, Sunny Bank Road, Rossendale, Lancashire, BB4 4PF",Estate Management Services
15275,Roost Boutique Ltd,07967 681 078,"16 Shap Close, Accrington, Lancashire, BB5 2TL",Driving Schools
15276,The Pampered Pooch Dog Grooming Studio Limited,01254 393 563,"Rothwell Mill Farm, Miller Fold Avenue, Accrington, Lancashire, BB5 0NY",Animal And Bird Housing
15277,Rv Civils Ltd,01254 231 369,"Oswaldtwistle Mills, Colliers Street, Accrington, Lancashire, BB5 3DE",Discount Centres
15278,Hawthorne Associates Ltd,01254 232 604,"Willows Lane, Accrington, Lancashire, BB5 0RT",Funeral Services
15279,Sen Magazine Ltd,01254 278 188,"114 Abbey Street, Accrington, Lancashire, BB5 1EE",Vehicle Rental (car)
15280,Bruce High Design Limited,01254 381 002,"318 Whalley Road, Accrington, Lancashire, BB5 5DQ",Public Houses Activities Of
15281,Lancashire Remapping Ltd,01254 872 401,"23 Broadway, Accrington, Lancashire, BB5 1ES",Discount Centres
15282,Corbridge Interior Design Limited,01254 233 426,"Paddock Mill, Moscow Mill Street, Accrington, Lancashire, BB5 0EP",Mobility Equipment
15283,Digidash Nw Ltd,01254 871 599,"Fort Street, Accrington, Accrington, Lancashire, BB5 1QG",Mobility Equipment
15284,The Grand At Clitheroe,01254 868 224,"The Motor House, Burnley Road, Accrington, Lancashire, BB5 6DJ",Mobility Equipment
15285,Branleigh Homes (St Marys) Ltd,01254 357 301,"Moscow Mill Street, Accrington, Lancashire, BB5 0EP",Mobility Equipment
15286,Handley Heating North West Limited,01254 383 994,"388-390 Blackburn Road, Accrington, Lancashire, BB5 1SA",Convenience Stores
15287,Powerclean U.K. (Holdings) Limited,3456779917,"2 Eagle Street, Accrington, Lancashire, BB5 1LJ",Clothing Retailers
15288,J S Atherton & Co Limited,3300582640,"Union St, Unit 12 Arndale Centre, Accrington, Lancashire, BB5 1EX",Health & Safety Products
15289,Get Real Change Ltd,07760 295 108,"75 Catlow Hall St, Accrington, Lancashire, BB5 3EZ",Roofing Contracting Services
15290,Decron Safety Netting Ltd,01254 237 989,"15 Victoria Street, Accrington, Lancashire, BB5 4LB",Convenience Stores
15291,Precision Metal Forming Ltd,01254 388 800,"Whalley Road, Altham, Accrington, Lancashire, BB5 5EG",Mobility Equipment
15292,B. Dugdale & Son Limited,07828 138 198,"304 Burnley Road, Accrington, Lancashire, BB5 6HG",Window Cleaning
15293,Ribble Valley Chequered Flag Ltd,01254 949 708,"Pod On Matalan Car Park, Fountain Retail Park, Hyndburn Road, Accrington, Lancashire, BB5 1PY",Car Dealers (new & Used)
15294,Pierra Group Ltd,01254 385 363,"Hyndburn Road, Accrington, Lancashire, BB5 1PY",Bureau De Change
15295,Athertons Limited,01254 606 600,"12-20 Willow Street, Accrington, Lancashire, BB5 1LP",Solicitors
15296,Ribble Valley Community Transport Cic,01254 301 300,"1 The Viaduct, Hyndburn Road, Accrington, Lancashire, BB5 1QF",Take Away Meal Outlets
15297,Tom Hardman Limited,01254 389 666,"7-8 Broadway, Accrington, Lancashire, BB5 1EY",Opticians Ophthalmic
15298,The Holy Bagel Limited,01254 303 400,"Blackburn Road, Clayton Le Moors Lancashire, Accrington, Lancashire, BB5 5JP",Hotels
15299,Eco Christmas Ltd,3451657385,"27-29 Blackburn Road, Accrington, Lancashire, BB5 1HF",Departmental Stores
15300,Bowland Group Limited,01254 600 625,"St. James Square, Accrington, Lancashire, BB5 0RE",Management And Business Consultants
15301,Jennifer M Whittall Ltd,3330053018,"Unit 3 Market Square, Accrington, Lancashire, BB5 1EJ",Hardware
15302,Clitheroe Royal Grammar School,0800 042 0800,"Argyle Street, Accrington, Lancashire, BB5 1DA",Grocers
15303,Whalley Corn Mills Ltd.,3457203040,"9 Union Street, Accrington, Lancashire, BB5 1LF",Banks And Financial Institutions
15304,Airace Limited,3456021997,"2 Peel Street, Accrington, Lancashire, BB5 1EP",Banks And Financial Institutions
15305,Pure Health And Beauty (Clitheroe) Limited,01254 301 111,"Hyndburn Road, Accrington, Lancashire, BB5 1PY",Supermarkets
15306,Shireburne Park Ltd,01254 232 999,"36 Pickup Street, Clayton-Le-Moors, Accrington, Lancashire, BB5 5NS",Pharmaceutical Suppliers And Wholesalers
15307,The Mark A Taylor Demolition Ltd,3457888444,"5 St. James Street, Accrington, Lancashire, BB5 1LY",Banks And Financial Institutions
15308,P & S Travel,0161 464 8983,"88 Avenue Parade, Accrington, Lancashire, BB5 6PJ",Roofing Contracting Services
15309,Singleton Brothers Building Services,01254 879 807,"Oxford Street, Accrington, Lancashire, BB5 1QX",Tyre Dealers
15310,Border Blinds,3330112112,"Boran Court, Trade Park, Accrington, Lancashire, BB5 1EF",Hardware
15311,Lmw,3456779917,"2 Eagle Street, Accrington, Lancashire, BB5 1LJ",Supermarkets
15312,Ribble Removals,3456757082,"Mill Ln, Oswaldtwistle, Accrington, Lancashire, BB5 3JB",Supermarkets
15313,John Blackburn,0844 248 0844,"14 Cornhill, Accrington, Lancashire, BB5 1EX",Couriers
15314,Riley Lifting Llp,01254 389 967,"The Viaduct Hyndburn Road, Accrington, Lancashire, BB5 1QF",Restaurants
15315,Super Grip (Lifting Equipment) Fabrications Limited,01706 831 208,"581 Blackburn Road, Rising Bridge, Haslingden, Accrington, Lancashire, BB5 2SB",Restaurants
15316,Superclamp (Lifting Equipment) Limited,01254 875 917,"Hyndburn Road, Accrington, Lancashire, BB5 1PY",Restaurants
15317,Riley Lifting Equipment Ltd,01254 381 783,"253 Whalley Road, Accrington, Lancashire, BB5 5AD",Convenience Stores
15318,Connected Security Group Limited,01254 231 384,"74 Burnley Rd, Accrington, Lancashire, BB5 1AF",Printers On Plastics And Other Surfaces
15319,Connected Investments Limited,3301235986,"48 Broadway, Accrington, Accrington, Lancashire, BB5 1EW",Phone Shops
15320,Mytravel Group Limited,3456779917,"2 Eagle Sreet, Accrington, Lancashire, BB5 1LJ",Phone Shops
15321,Pendleside Hospice,01254 301 111,"Hyndburn Road, Accrington, Lancashire, BB5 1PY",Cafes And Snack Bars
15322,Sun Station Ltd,0800 622 6339,"Compound 2X, Junction 7 Business Park, Lancashire Bb5 5Jw, Accrington, Lancashire, BB5 5JW",Estate Management Services
15323,No 10 Kebab & Pizza,07990 960 738,"Oswaldtwistle, Accrington, Lancashire, BB5 3QY",Builders
15324,Pendleside Hospice Shop,01902 540 540,"Unit 4, Petre Court, Accrington, Lancashire, BB5 5HY",
15325,Az Global Distribution Ltd,01254 395 552,"1, Cunliffe Court, Clayton Business Park, Accrington, Lancashire, BB5 5JG",Estate Management Services
15326,Farmfoods,01384 837 528,"Unit 6, The Ironworks, Dale Street, Accrington, Lancashire, BB5 0AP",Sports Clubs
15327,Green Electrical & Security Ltd,01706 224 904,"Mount Pleasant Farm, Haslingden Old Road, Accrington, Lancashire, BB5 3SN",Environmental Consultants
15328,The Union Exchange,01282 772 544,"Unit 1-5, Calder Court, Accrington, Lancashire, BB5 5YB",Holding Companies Management Activities
15329,Farmhouse Biscuits Limited,07736 043 772,"652, Blackburn Road, Accrington, Lancashire, BB5 2RY",Management And Business Consultants
15330,Empress Mills (1927) Limited,3333207100,"Suite 1, The Globe Centre, St James Square, Bb5 0Re, Accrington, Lancashire, BB5 0RE",
15331,Empress Mills,01254 355 230,"Unit 7, Chester Street, Accrington, Lancashire, BB5 0SD",Rubber Product Manufacturers Of
15332,Wilson Insurance Services Limited,07939 501 039,"3, Leyburn Close, Accrington, Lancashire, BB5 6SE",Design Engineers
15333,Domino's Pizza Uk & Ireland Limited,01254 822 880,"22-28, Willow Street, Accrington, Lancashire, BB5 1LP",Business Services
15334,Oxfam,020 8265 7727,"Unit 30, Cornhill, Accrington, Lancashire, BB5 1EX",
15335,Frozen Value Limited,0808 156 1606,"Market Street, Church, Accrington, Lancashire, BB5 0DP",Business Services
15336,Coversure Insurance Services,01254 238 823,"20, Station Road, Accrington, Lancashire, BB5 6LS",Business Services
15337,One Stop Community Stores Limited,0808 156 1606,"Eagle Street, Accrington, Lancashire, BB5 1LJ",Business Services
15338,C & E Private Hire,01254 603 368,"204, Blackburn Road, Accrington, Lancashire, BB5 0AQ",
15339,Admiral,0843 837 0884,"The Old Coach Yard, Mill Entrance, Clayton Le Moors, Lancashire Bb5 5Hd, Accrington, Lancashire, BB5 5HD",Auctioneers And Valuers
15340,Intershape Fitness,01254 377 511,"4-4A, Blackburn Road, Accrington, Lancashire, BB5 1HD",Commercial Premises Cleaning
15341,Al Pacino,01254 351 708,"55, Abbey Street, Accrington, Lancashire, BB5 1EH",Mortgage Brokers
15342,Fulton Foods,01254 879 900,"24, Blackburn Road, Accrington, Lancashire, BB5 1HD",Estate Agents
15343,Nisa,01254 389 384,"7, Blackburn Road, Accrington, Lancashire, BB5 1HF",Holding Companies Management Activities
15344,Colne Market Hall,01254 386 978,"Unit 4, Chester Street, Accrington, Lancashire, BB5 0SD",Sports Goods Retailers
15345,Intelligent Communications,020 8391 4030,"Unit 1 Petre Road, Clayton Business Park, Accrington, Lancashire, BB5 5JB",Manufacturers Agents
15346,Colne-Tools.Com,020 8391 4030,"Unit 1, Petre Court, Petre Road, Clayton Business Park, Accrington, Lancashire, BB5 5HY",Manufacturers Agents
15347,Domino's Pizza - Colne,01254 460 080,"Elmfield Hall Flats, Church, Accrington, Lancashire, BB5 4AE",
15348,Loop Publishing Ltd,01254 460 080,"Elmfield Hall, Hyndburn Road, Accrington, Lancashire, BB5 4AA",
15349,Monk Of Colne Ltd,01254 236 626,"Princess Street, Accrington, Lancashire, BB5 1SP",Garage Related Services
15350,Sugared Almond Beauty,01254 882 966,"32, Northcliffe, Blackburn, Lancashire, BB6 7PJ",Builders
15351,Dhl Express Service Point (Bb8 Deliveries),07830 139 222,"34, Northcliffe, Blackburn, Lancashire, BB6 7PJ",Mobility Equipment
15352,Colne Carpets,01254 823 551,"29, Redwing Avenue, Blackburn, Lancashire, BB6 7NZ",Plant And Machinery Maintenance And Repairs
15353,Ocean Bathrooms Tiles & Heating,01254 887 973,"Cliffe Lane, Blackburn, Lancashire, BB6 7PG",Public Houses Activities Of
15354,Fuchsia Health & Beauty,01254 884 136,"Cliffe Park, Great Harwood, Blackburn, Lancashire, BB6 7PQ",Sports Clubs
15355,Train Me Beauty Ltd,01254 889 596,"20, Delph Mount, Blackburn, Lancashire, BB6 7QF",Cleaning Contracting Domestic
15356,Clifford Smith & Buchanan,01254 888 585,"17, Cliffe Lane, Blackburn, Lancashire, BB6 7PG",Electrical Contractors And Electricians
15357,Touch Hair Limited,01254 888 585,"17, Cliffe Lane, Blackburn, Lancashire, BB6 7PG",Electrical Contractors And Electricians
15358,Samuel Smith Old Brewery (Tadcaster),07578 630 380,"16, Beaconsfield Street, Blackburn, Lancashire, BB6 7NJ",Education Services
15359,Shoe Zone Retail Limited,07779 226 457,"Unit 1, Gladstone Street, Blackburn, Lancashire, BB6 7NH",Car Dealers (used Only)
15360,National Council Of Young Men's Christian Associations(Incorporated)(The),07707 416 894,"3, Gladstone Street, Blackburn, Lancashire, BB6 7NH",
15361,Eclipse Sports Ltd,01254 886 647,"8, Edge End Road, Blackburn, Lancashire, BB6 7HS",Painters And Decorators
15362,Moody Hair Ltd,01740 631 390,"8, Edge End Road, Blackburn, Lancashire, BB6 7HS",Plumbers Merchants
15363,Y M C A Shop,01254 889 218,"11, Causeway, Blackburn, Lancashire, BB6 7HU",Plastering And Related Building Services
15364,Red Lion Hotel,01254 883 216,"Belmont Road, Great Harwood, Blackburn, Lancashire, BB6 7LZ",Residential Care Establishments
15365,Grahame's Poultry,01254 829 999,"7, Hillside Close, Blackburn, Lancashire, BB6 7PR",Roofing Contracting Services
15366,Max Hair Studio,01254 884 534,"Ash Street, Great Harwood, Blackburn, Lancashire, BB6 7QA",Primary And Junior Schools (local Authority)
15367,Birro's Shoe Repairing,01254 885 999,"64, Delph Road, Blackburn, Lancashire, BB6 7HT",Driving Schools
15368,Touch Hair & Beauty,07831 627 923,"62, Delph Road, Blackburn, Lancashire, BB6 7HT",Property Developers
15369,Dixy Fried Chicken,01254 829 240,"Nethercliffe, Church Lane, Blackburn, Lancashire, BB6 7PU",Charities And Charitable Organisations
15370,Kip Mcgrath Colne,01254 888 888,"4, Commercial Road, Blackburn, Lancashire, BB6 7HX",Taxis And Private Hire Vehicles
15371,Evercare Pharmacy,07500 420 211,"Commercial Road, Great Harwood, Blackburn, Lancashire, BB6 7HX",Places Of Worship
15372,A Lawson,01254 884 058,"99-103, Church Street, Blackburn, Lancashire, BB6 7QB",Business Services
15373,M65 Gas Training And Assessment Services Ltd,01254 884 488,"79, Church Street, Blackburn, Lancashire, BB6 7QB",Orthopaedic Equipment
15374,Craven Vehicle Services Ltd,0161 728 5994,"115, Church Street, Blackburn, Lancashire, BB6 7QB",Surgeons
15375,Colne Van Hire,01254 882 050,"79, Church Street, Blackburn, Lancashire, BB6 7QB",Home Care And Help Services
15376,C & A 4 X 4,01254 884 058,"100, Church Street, Blackburn, Lancashire, BB6 7QB",Residential Care Establishments
15377,J & D Crabtree,01254 887 440,"18, Delph Road, Blackburn, Lancashire, BB6 7HH",Garage Related Services
15378,Stell's Famous Pet Store,01254 888 847,"22, Delph Road, Blackburn, Lancashire, BB6 7HH",Car Body Repairers
15379,M65 Gas Training & Assessment Ltd,01254 888 888,"2 Commercial Rd, Blackburn, Lancashire, BB6 7HX",Taxis
15380,Steven Heyworth News Limited,01254 883 947,"51, Russell Place, Blackburn, Lancashire, BB6 7JP",Graphic Designers
15381,Deb 'N' Hair,01254 231 573,"Britannia Street, Great Harwood, Blackburn, Lancashire, BB6 7QX",Joinery Suppliers
15382,Food 2 Go,01200 426 499,"58, James Street, Blackburn, Lancashire, BB6 7JH",Car Accessories And Parts
15383,Skipton Road Post Office,01254 886 135,"55, James Street, Blackburn, Lancashire, BB6 7JH",Antique Restoration Services
15384,Hewitt & Co,01254 447 274,"Church Field House, Church Street, Blackburn, Lancashire, BB6 7RE",Function Halls And Rooms For Hire
15385,Skipton Road Dental Practice,01254 877 077,"29 Queen Street, Blackburn, Lancashire, BB6 7SA",Funeral Services
15386,The Richmond Hill Practice,01254 877 787,"Belmont Farm, Great Harwood, Blackburn, Lancashire, BB6 7UY",
15387,Colne Health Centre Pharmacy,07947 121 211,"2 Church Street, Blackburn, Lancashire, BB6 7NF",Public Houses Activities Of
15388,Dr L Brooke - The Richmond Hill Practice,01254 885 599,"Abbey House, 6-8, Church Street, Blackburn, Lancashire, BB6 7NF",Education Services
15389,Dr P Shukla - The Richmond Hill Practice,01254 884 307,"7, Church Street, Blackburn, Lancashire, BB6 7NF",Public Houses Activities Of
15390,Dr B Palmowski - The Richmond Hill Practice,01254 888 199,"16, Church Street, Blackburn, Lancashire, BB6 7NF",Hairdressers (unisex)
15391,Dr P Sinha - The Richmond Hill Practice,01254 889 712,"13, Church Street, Blackburn, Lancashire, BB6 7NF",Hairdressers (unisex)
15392,Dr J Ali - The Richmond Hill Practice,01254 887 245,"11, Church Street, Blackburn, Lancashire, BB6 7NF",Beauty Salons
15393,Dr K Rahman - The Richmond Hill Practice,01254 876 300,"20, Church Street, Blackburn, Lancashire, BB6 7NF",Chiropodists And Podiatrists
15394,Forrester & Ward Funeral Services,01254 885 599,"6-8, Church Street, Blackburn, Lancashire, BB6 7NF",Training Services
15395,Peter Birtwistle Trust,01254 372 114,"6-8, Church Street, Blackburn, Lancashire, BB6 7NF",Beauty Salons
15396,The Emmott Arms,01254 680 190,"21, Church Street, Blackburn, Lancashire, BB6 7NF",Electrical Appliance Rental
15397,Patacake Celebration Cakes,01254 610 030,"21, Church Street, Blackburn, Lancashire, BB6 7NF",Hairdressers (unisex)
15398,H&F Accountants Limited,01254 413 298,"12, Church Street, Blackburn, Lancashire, BB6 7NF",Locksmiths
15399,Ox-An Global Limited,01254 385 945,"Bank Mill House, Church Street, Blackburn, Lancashire, BB6 7NF",Leisure Centres
15400,Accessible Ltd,01254 829 744,"5, Towngate, Blackburn, Lancashire, BB6 7NE",Snooker Halls
15401,N.W.T.C. Limited,01254 882 777,"1A, Edward Street, Blackburn, Lancashire, BB6 7JB",Pre School Education
15402,North West Trading Company,01254 882 777,"Great Harwood Lodge, Edward Street, Bb6 7Jb, Blackburn, Lancashire, BB6 7JB",Nursery Schools
15403,Bryland Fire Protection Ltd,01254 884 855,"St Lawrence Street, Great Harwood, Blackburn, Lancashire, BB6 7QZ",Wire Products Manufacturers Of
15404,Specsavers Hearing Centre,01254 888 069,"Flat 21, Franklin Ainsworth House, St. Lawrence Street, Blackburn, Lancashire, BB6 7QZ",Sheltered Housing Accommodation
15405,Sainsbury's Cafe,01254 372 271,"Laund Mill, St. Lawrence Street, Blackburn, Lancashire, BB6 7QZ",Health Clubs
15406,Loop Publishing,0870 518 1715,"5-7, Queen Street, Blackburn, Lancashire, BB6 7QL",Bookmakers And Turf Accountants
15407,Lanyor Bookkeeping And Accounts Ltd,01254 887 246,"17, Queen Street, Blackburn, Lancashire, BB6 7QL",
15408,Business Broadband And Communications Limited,01422 333 333,"3, Queen Street, Blackburn, Lancashire, BB6 7QL",
15409,Mr Chips,01254 877 866,"13A, Queen Street, Blackburn, Lancashire, BB6 7QL",Physiotherapists
15410,Crown Cars Colne,01254 887 150,"3, Queen Street, Blackburn, Lancashire, BB6 7QL",Letting Agents
15411,Greenline Taxis,01254 886 178,"9-11, Queen Street, Blackburn, Lancashire, BB6 7QL",Chemists Dispensing
15412,Bubble Aquatics,01254 887 530,"13, Queen Street, Blackburn, Lancashire, BB6 7QL",Hairdressers (unisex)
15413,Arcade Cafe Ltd,01254 876 642,"5-7, Queen Street, Blackburn, Lancashire, BB6 7QL",Electrical Engineers
15414,Gobstoppers Traditional Sweet Shop,01254 659 813,"27, Queen Street, Blackburn, Lancashire, BB6 7QL",Delicatessens
15415,Deerstones Bakery,01254 882 868,"21, Beech Street, Blackburn, Lancashire, BB6 7RB",Gas Service Engineers
